,"总股本
[单位] 亿股",
时间,基本面50,上证50
2010-12-14,17273.7264,19993.7675
2010-12-15,17280.9362,20000.9773
2010-12-16,17438.2186,20158.2596
2010-12-17,17438.2186,20158.2596
2010-12-20,17438.2186,20158.2596
2010-12-21,17438.2186,20158.2596
2010-12-22,17438.2186,20158.2596
2010-12-23,17438.2186,20158.2596
2010-12-24,17438.2186,20158.2596
2010-12-27,17438.2186,20158.2596
2010-12-28,17475.594,20195.6351
2010-12-29,17495.594,20225.6351
2010-12-30,17495.594,20225.6351
2010-12-31,17495.594,20225.6351
2011-1-4,17495.594,20352.2356
2011-1-5,17495.594,20352.2356
2011-1-6,17495.594,20352.2356
2011-1-7,17495.5944,20352.236
2011-1-10,17495.5944,20352.236
2011-1-11,17495.5944,20352.236
2011-1-12,17495.5944,20352.236
2011-1-13,17495.5944,20352.236
2011-1-14,17495.5944,20352.236
2011-1-17,17495.5944,20352.236
2011-1-18,17495.5944,20352.236
2011-1-19,17495.5944,20352.236
2011-1-20,17495.5944,20352.236
2011-1-21,17495.5944,20352.236
2011-1-24,17495.5944,20352.236
2011-1-25,17495.5944,20352.236
2011-1-26,17495.5944,20352.236
2011-1-27,17495.5944,20352.236
2011-1-28,17495.5944,20352.236
2011-1-31,17495.5944,20352.236
2011-2-1,17495.5944,20352.236
2011-2-9,17495.5944,20352.236
2011-2-10,17495.5944,20352.236
2011-2-11,17495.5944,20352.236
2011-2-14,17495.5944,20352.236
2011-2-15,17495.5944,20352.236
2011-2-16,17495.5944,20352.236
2011-2-17,17495.5944,20352.236
2011-2-18,17495.5944,20352.236
2011-2-21,17495.5944,20352.236
2011-2-22,17495.5944,20352.236
2011-2-23,17495.5944,20352.236
2011-2-24,17495.5944,20352.236
2011-2-25,17495.5944,20352.236
2011-2-28,17495.5944,20352.236
2011-3-1,17495.5944,20352.236
2011-3-2,17495.5944,20352.236
2011-3-3,17495.5944,20352.236
2011-3-4,17495.5944,20352.236
2011-3-7,17495.5944,20352.236
2011-3-8,17495.5944,20352.236
2011-3-9,17495.5944,20352.236
2011-3-10,17495.5944,20352.236
2011-3-11,17495.5944,20352.236
2011-3-14,17495.5944,20352.236
2011-3-15,17495.5944,20352.236
2011-3-16,17495.5944,20352.236
2011-3-17,17498.3744,20352.236
2011-3-18,17498.3744,20352.236
2011-3-21,17498.3744,20352.236
2011-3-22,17498.3744,20352.236
2011-3-23,17498.3744,20352.236
2011-3-24,17498.3744,20352.236
2011-3-25,17498.3744,20352.236
2011-3-28,17498.3744,20352.236
2011-3-29,17498.3744,20352.236
2011-3-30,17498.3744,20352.236
2011-3-31,17498.3744,20352.236
2011-4-1,17498.3744,20352.236
2011-4-6,17498.3744,20352.236
2011-4-7,17498.3809,20352.2424
2011-4-8,17498.3809,20352.2424
2011-4-11,17516.0247,20352.2424
2011-4-12,17516.0247,20352.2424
2011-4-13,17538.5809,20374.7987
2011-4-14,17538.5809,20374.7987
2011-4-15,17538.5809,20374.7987
2011-4-18,17538.5809,20374.7987
2011-4-19,17538.5809,20374.7987
2011-4-20,17538.5809,20374.7987
2011-4-21,17538.5809,20374.7987
2011-4-22,17538.5809,20400.111
2011-4-25,17538.5809,20400.111
2011-4-26,17538.5809,20400.111
2011-4-27,17538.5809,20400.111
2011-4-28,17557.1729,20418.703
2011-4-29,17557.1729,20418.703
2011-5-3,17557.1729,20418.703
2011-5-4,17557.1729,20418.703
2011-5-5,17557.1729,20418.703
2011-5-6,17605.1125,20466.6426
2011-5-9,17605.1125,20466.6426
2011-5-10,17605.1125,20466.6426
2011-5-11,17605.1125,20466.6426
2011-5-12,17605.1125,20470.6794
2011-5-13,17605.1125,20470.6794
2011-5-16,17605.1125,20470.6794
2011-5-17,17605.1125,20484.4063
2011-5-18,17605.1125,20484.4063
2011-5-19,17605.1125,20484.4063
2011-5-20,17605.1125,20484.4063
2011-5-23,17605.1125,20484.4063
2011-5-24,17605.1125,20484.4063
2011-5-25,17605.1125,20484.4063
2011-5-26,17605.1125,20484.4063
2011-5-27,17605.1125,20484.4063
2011-5-30,17605.1125,20484.4063
2011-5-31,17605.1125,20484.4063
2011-6-1,17615.1125,20484.4063
2011-6-2,17615.1125,20484.4063
2011-6-3,17658.1598,20527.4535
2011-6-7,17658.1598,20533.5356
2011-6-8,17658.1598,20533.5356
2011-6-9,17658.1598,20537.8049
